name,url,image,takeout_price,eatin_price
"Trio Heart - Chocolate & Praline","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_06.html","/m_menu/donut/images/462/product_1.jpg","テイクアウト【税込】:￥669",""
"Truffle Chocolate Donut - Noir","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_01.html","/m_menu/donut/images/457/product_1.jpg","テイクアウト【税込】:￥345","イートイン【税込】:￥352"
"Truffle Chocolate Donut - Praline","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_02.html","/m_menu/donut/images/458/product_1.jpg","テイクアウト【税込】:￥345","Eat-in【Tax included】:￥352"
"Soft French Cruller - Chocolat Noir","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_03.html","/m_menu/donut/images/459/product_1.jpg","Takeout【Including tax】:￥270","Eat-in【Tax included】:￥275"
"Soft French Cruller - Chocolat Caramel Praliné","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_04.html","/m_menu/donut/images/460/product_1.jpg","Takeout【Including tax】:￥291","Eat-in【Tax included】:￥297"
"Chocolate Pie - Deux","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_05.html","/m_menu/donut/images/461/product_1.jpg","Takeout【Including tax】:￥367","Eat-in【Tax included】:￥374"
"Pon De Ring Chocolate","https://www.misterdonut.jp/m_menu/donut/pondechocolat_25_01.html","/m_menu/donut/images/445/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Pon De Ring Double Chocolate","https://www.misterdonut.jp/m_menu/donut/pondechocolat_25_02.html","/m_menu/donut/images/446/product_1.jpg","Takeout【Including tax】:￥194","Eat-in【Tax included】:￥198"
"Pon de Ring Rich Chocolate Custard","https://www.misterdonut.jp/m_menu/donut/pondechocolat_25_03.html","/m_menu/donut/images/447/product_1.jpg","Takeout【Including tax】:￥237","Eat-in【Tax included】:￥242"
"Pon De Ring Ganache Chocolate","https://www.misterdonut.jp/m_menu/donut/pondechocolat_25_04.html","/m_menu/donut/images/448/product_1.jpg","Takeout【Including tax】:￥237","Eat-in【Tax included】:￥242"
"Creamy Mushroom & Chicken Stew Pie","https://www.misterdonut.jp/m_menu/donut/pie25_04.html","/m_menu/donut/images/442/product_1.jpg","Takeout【Including tax】:￥259","Eat-in【Tax included】:￥264"
"Meat Sauce Lasagna-Style Pie","https://www.misterdonut.jp/m_menu/donut/pie25_05.html","/m_menu/donut/images/443/product_1.jpg","Takeout【Including tax】:￥259","Eat-in【Tax included】:￥264"
"Chunky Corn Cream Pie","https://www.misterdonut.jp/m_menu/donut/pie25_06.html","/m_menu/donut/images/444/product_1.jpg","Takeout【Including tax】:￥259","Eat-in【Tax included】:￥264"
